mp4_path,jpg_path,mp4_size_MB,asset_id
W:\immich\upload\library\fa76aac0-437a-4afc-a091-d0a0c3d24f09\2023\08\20230822_100853.mp4,W:\immich\upload\library\fa76aac0-437a-4afc-a091-d0a0c3d24f09\2023\08\20230822_100853.jpg,3.65,51024c8a-2930-4b49-83ce-802a06f44682
W:\immich\upload\library\fa76aac0-437a-4afc-a091-d0a0c3d24f09\2023\08\20230822_112623.mp4,W:\immich\upload\library\fa76aac0-437a-4afc-a091-d0a0c3d24f09\2023\08\20230822_112623.jpg,4.42,9450356f-a7fb-4fd0-a57b-f803085d6989
W:\immich\upload\library\fa76aac0-437a-4afc-a091-d0a0c3d24f09\2023\08\20230822_112629.mp4,W:\immich\upload\library\fa76aac0-437a-4afc-a091-d0a0c3d24f09\2023\08\20230822_112629.jpg,4.46,deae8f04-c0f2-4243-89d5-a904d48283ad
W:\immich\upload\library\fa76aac0-437a-4afc-a091-d0a0c3d24f09\2023\08\20230822_160910.mp4,W:\immich\upload\library\fa76aac0-437a-4afc-a091-d0a0c3d24f09\2023\08\20230822_160910.jpg,4.17,648123c8-113d-4094-9c31-78d0ea155eaf
W:\immich\upload\library\fa76aac0-437a-4afc-a091-d0a0c3d24f09\2023\08\20230822_160929.mp4,W:\immich\upload\library\fa76aac0-437a-4afc-a091-d0a0c3d24f09\2023\08\20230822_160929.jpg,4.23,dbb7d4cd-2876-4d27-9ba7-94bb6e6dba39
W:\immich\upload\library\fa76aac0-437a-4afc-a091-d0a0c3d24f09\2023\08\20230822_165558.mp4,W:\immich\upload\library\fa76aac0-437a-4afc-a091-d0a0c3d24f09\2023\08\20230822_165558.jpg,2.64,2220acd2-74f4-4a71-8c4a-985b75dba964
W:\immich\upload\library\fa76aac0-437a-4afc-a091-d0a0c3d24f09\2023\08\20230823_145843.mp4,W:\immich\upload\library\fa76aac0-437a-4afc-a091-d0a0c3d24f09\2023\08\20230823_145843.jpg,3.99,c8bbb54b-2170-43cc-ad35-12971591a968
W:\immich\upload\library\fa76aac0-437a-4afc-a091-d0a0c3d24f09\2023\08\20230823_145848.mp4,W:\immich\upload\library\fa76aac0-437a-4afc-a091-d0a0c3d24f09\2023\08\20230823_145848.jpg,4.41,c810c85c-2f1b-43aa-8843-881d6fc4e06b
W:\immich\upload\library\fa76aac0-437a-4afc-a091-d0a0c3d24f09\2023\08\20230823_152006.mp4,W:\immich\upload\library\fa76aac0-437a-4afc-a091-d0a0c3d24f09\2023\08\20230823_152006.jpg,3.92,6d057e10-2a85-4c87-92ff-ab9cfe643d8a
